member_name_original,member_name_normalized,member_name_display,party,matched,match_type,confidence,matched_candidate_name_original,matched_candidate_name_normalized,matched_candidate_name_display,election_year,election_file,notes
"Boyd, Allen",allen boyd,Allen Boyd,Democratic,yes,exact,100,"Allen Boyd, Jr.",allen boyd,Allen Boyd,1996,congressional_elections_1996.csv,
"Bera, Ami",ami bera,Ami Bera,Democratic,yes,exact,100,Ami Bera,ami bera,Ami Bera,2010,congressional_elections_2010.csv,
"Klobuchar, Amy",amy klobuchar,Amy Klobuchar,Democratic,yes,exact,100,Amy Klobuchar,amy klobuchar,Amy Klobuchar,2006,congressional_elections_2006.csv,
"Crenshaw, Ander",ander crenshaw,Ander Crenshaw,Republican,yes,exact,100,Ander Crenshaw,ander crenshaw,Ander Crenshaw,2000,congressional_elections_2000.csv,
"Salinas, Andrea",andrea salinas,Andrea Salinas,Democratic,yes,exact,100,Andrea Salinas,andrea salinas,Andrea Salinas,2022,congressional_elections_2022.csv,
"Jacobs, Andrew, Jr.",andrew jacobs,Andrew Jacobs,Democratic,yes,exact,100,"Andrew Jacobs, Jr.",andrew jacobs,Andrew Jacobs,1992,congressional_elections_1992.csv,
"Jacobs, Andrew, Jr.",andrew jacobs,Andrew Jacobs,Democratic,yes,exact,100,"Andrew Jacobs, Jr.",andrew jacobs,Andrew Jacobs,1992,congressional_elections_1992.csv,
"Carson, André",andré carson,André Carson,Democratic,yes,exact,100,André Carson,andré carson,André Carson,2008,congressional_elections_2008.csv,
"Barr, Andy",andy barr,Andy Barr,Republican,yes,exact,100,Andy Barr,andy barr,Andy Barr,2010,congressional_elections_2010.csv,
"Biggs, Andy",andy biggs,Andy Biggs,Republican,yes,exact,100,Andy Biggs,andy biggs,Andy Biggs,2016,congressional_elections_2016.csv,
"Harris, Andy",andy harris,Andy Harris,Republican,yes,exact,100,Andy Harris,andy harris,Andy Harris,2008,congressional_elections_2008.csv,
"Kim, Andy",andy kim,Andy Kim,Democratic,yes,exact,100,Andy Kim,andy kim,Andy Kim,2018,congressional_elections_2018.csv,
"Kim, Andy",andy kim,Andy Kim,Democratic,yes,exact,100,Andy Kim,andy kim,Andy Kim,2018,congressional_elections_2018.csv,
"Levin, Andy",andy levin,Andy Levin,Democratic,yes,exact,100,Andy Levin,andy levin,Andy Levin,2018,congressional_elections_2018.csv,
"Craig, Angie",angie craig,Angie Craig,Democratic,yes,exact,100,Angie Craig,angie craig,Angie Craig,2016,congressional_elections_2016.csv,
"Kirkpatrick, Ann",ann kirkpatrick,Ann Kirkpatrick,Democratic,yes,exact,100,Ann Kirkpatrick,ann kirkpatrick,Ann Kirkpatrick,2008,congressional_elections_2008.csv,
"Kirkpatrick, Ann",ann kirkpatrick,Ann Kirkpatrick,Democratic,yes,exact,100,Ann Kirkpatrick,ann kirkpatrick,Ann Kirkpatrick,2008,congressional_elections_2008.csv,
"Kirkpatrick, Ann",ann kirkpatrick,Ann Kirkpatrick,Democratic,yes,exact,100,Ann Kirkpatrick,ann kirkpatrick,Ann Kirkpatrick,2008,congressional_elections_2008.csv,
"Buerkle, Ann Marie",ann marie buerkle,Ann Marie Buerkle,Republican,yes,exact,100,Ann Marie Buerkle,ann marie buerkle,Ann Marie Buerkle,2010,congressional_elections_2010.csv,
"Wagner, Ann",ann wagner,Ann Wagner,Republican,yes,exact,100,Ann Wagner,ann wagner,Ann Wagner,2012,congressional_elections_2012.csv,
"Brindisi, Anthony",anthony brindisi,Anthony Brindisi,Democratic,yes,exact,100,Anthony Brindisi,anthony brindisi,Anthony Brindisi,2018,congressional_elections_2018.csv,
"D'Esposito, Anthony",anthony desposito,Anthony Desposito,Republican,yes,exact,100,Anthony D'Esposito,anthony desposito,Anthony Desposito,2022,congressional_elections_2022.csv,
"Gonzalez, Anthony",anthony gonzalez,Anthony Gonzalez,Republican,yes,exact,100,Anthony Gonzalez,anthony gonzalez,Anthony Gonzalez,2018,congressional_elections_2018.csv,
"Delgado, Antonio",antonio delgado,Antonio Delgado,Democratic,yes,exact,100,Antonio Delgado,antonio delgado,Antonio Delgado,2018,congressional_elections_2018.csv,
"Specter, Arlen",arlen specter,Arlen Specter,Democratic,yes,exact,100,Arlen Specter,arlen specter,Arlen Specter,1992,congressional_elections_1992.csv,
"Ravenel, Arthur, Jr.",arthur ravenel,Arthur Ravenel,Republican,yes,exact,100,"Arthur Ravenel, Jr.",arthur ravenel,Arthur Ravenel,1992,congressional_elections_1992.csv,
"Davis, Artur",artur davis,Artur Davis,Democratic,yes,exact,100,Artur Davis,artur davis,Artur Davis,2002,congressional_elections_2002.csv,
"Hutchinson, Asa",asa hutchinson,Asa Hutchinson,Republican,yes,exact,100,Asa Hutchinson,asa hutchinson,Asa Hutchinson,1996,congressional_elections_1996.csv,
"Hinson, Ashley",ashley hinson,Ashley Hinson,Republican,yes,exact,100,Ashley Hinson,ashley hinson,Ashley Hinson,2020,congressional_elections_2020.csv,
"Pfluger, August",august pfluger,August Pfluger,Republican,yes,exact,100,August Pfluger,august pfluger,August Pfluger,2020,congressional_elections_2020.csv,
"Scott, Austin",austin scott,Austin Scott,Republican,yes,exact,100,Austin Scott,austin scott,Austin Scott,2010,congressional_elections_2010.csv,
"Pressley, Ayanna",ayanna pressley,Ayanna Pressley,Democratic,yes,exact,100,Ayanna Pressley,ayanna pressley,Ayanna Pressley,2018,congressional_elections_2018.csv,
"Obama, Barack",barack obama,Barack Obama,Democratic,yes,exact,100,Barack Obama II,barack obama,Barack Obama,2004,congressional_elections_2004.csv,
"Boxer, Barbara",barbara boxer,Barbara Boxer,Democratic,yes,exact,100,Barbara Boxer,barbara boxer,Barbara Boxer,1992,congressional_elections_1992.csv,
"Boxer, Barbara",barbara boxer,Barbara Boxer,Democratic,yes,exact,100,Barbara Boxer,barbara boxer,Barbara Boxer,1992,congressional_elections_1992.csv,
"Comstock, Barbara",barbara comstock,Barbara Comstock,Republican,yes,exact,100,Barbara Comstock,barbara comstock,Barbara Comstock,2014,congressional_elections_2014.csv,
"Cubin, Barbara",barbara cubin,Barbara Cubin,Republican,yes,exact,100,Barbara Cubin,barbara cubin,Barbara Cubin,1994,congressional_elections_1994.csv,
"Lee, Barbara",barbara lee,Barbara Lee,Democratic,yes,exact,100,Barbara Lee,barbara lee,Barbara Lee,1998,congressional_elections_1998.csv,
"Collins, Barbara-Rose",barbara rose collins,Barbara Rose Collins,Democratic,yes,exact,100,Barbara-Rose Collins,barbara rose collins,Barbara Rose Collins,1992,congressional_elections_1992.csv,
"Frank, Barney",barney frank,Barney Frank,Democratic,yes,exact,100,Barney Frank,barney frank,Barney Frank,1992,congressional_elections_1992.csv,
"Loudermilk, Barry",barry loudermilk,Barry Loudermilk,Republican,yes,exact,100,Barry Loudermilk,barry loudermilk,Barry Loudermilk,2014,congressional_elections_2014.csv,
"Moore, Barry",barry moore,Barry Moore,Republican,yes,exact,100,Barry Moore,barry moore,Barry Moore,2020,congressional_elections_2020.csv,
"Gordon, Bart",bart gordon,Bart Gordon,Democratic,yes,exact,100,Bart Gordon,bart gordon,Bart Gordon,1992,congressional_elections_1992.csv,
"Stupak, Bart",bart stupak,Bart Stupak,Democratic,yes,exact,100,Bart Stupak,bart stupak,Bart Stupak,1992,congressional_elections_1992.csv,
"Boulter, Beau",beau boulter,Beau Boulter,Republican,yes,exact,100,Beau Boulter,beau boulter,Beau Boulter,1992,congressional_elections_1992.csv,
"Balint, Becca",becca balint,Becca Balint,Democratic,yes,exact,100,Becca Balint,becca balint,Becca Balint,2022,congressional_elections_2022.csv,
"Chandler, Ben",ben chandler,Ben Chandler,Democratic,yes,exact,100,Ben Chandler III,ben chandler,Ben Chandler,2004,congressional_elections_2004.csv,
"Cline, Ben",ben cline,Ben Cline,Republican,yes,exact,100,Ben Cline,ben cline,Ben Cline,2018,congressional_elections_2018.csv,
"Erdreich, Ben",ben erdreich,Ben Erdreich,Democratic,yes,exact,100,Ben Erdreich,ben erdreich,Ben Erdreich,1992,congressional_elections_1992.csv,
"Jones, Ben",ben jones,Ben Jones,Democratic,yes,exact,100,Ben Jones,ben jones,Ben Jones,1994,congressional_elections_1994.csv,
"McAdams, Ben",ben mcadams,Ben Mcadams,Democratic,yes,exact,100,Ben McAdams,ben mcadams,Ben Mcadams,2018,congressional_elections_2018.csv,
"Nelson, Ben",ben nelson,Ben Nelson,Democratic,yes,exact,100,Ben Nelson,ben nelson,Ben Nelson,1996,congressional_elections_1996.csv,
"Sasse, Ben",ben sasse,Ben Sasse,Republican,yes,exact,100,Ben Sasse,ben sasse,Ben Sasse,2014,congressional_elections_2014.csv,
"Moreno, Bernie",bernie moreno,Bernie Moreno,Republican,yes,exact,100,Bernie Moreno,bernie moreno,Bernie Moreno,2024,congressional_elections_2024.csv,
"Van Duyne, Beth",beth van duyne,Beth Van Duyne,Republican,yes,exact,100,Beth Van Duyne,beth van duyne,Beth Van Duyne,2020,congressional_elections_2020.csv,
"O'Rourke, Beto",beto orourke,Beto Orourke,Democratic,yes,exact,100,Beto O'Rourke,beto orourke,Beto Orourke,2012,congressional_elections_2012.csv,
"Markey, Betsy",betsy markey,Betsy Markey,Democratic,yes,exact,100,Betsy Markey,betsy markey,Betsy Markey,2008,congressional_elections_2008.csv,
"McCollum, Betty",betty mccollum,Betty Mccollum,Democratic,yes,exact,100,Betty McCollum,betty mccollum,Betty Mccollum,2000,congressional_elections_2000.csv,
"Sutton, Betty",betty sutton,Betty Sutton,Democratic,yes,exact,100,Betty Sutton,betty sutton,Betty Sutton,2006,congressional_elections_2006.csv,
"Archer, Bill",bill archer,Bill Archer,Republican,yes,exact,100,Bill Archer,bill archer,Bill Archer,1992,congressional_elections_1992.csv,
"Barrett, Bill",bill barrett,Bill Barrett,Republican,yes,exact,100,Bill Barrett,bill barrett,Bill Barrett,1992,congressional_elections_1992.csv,
"Brock, Bill",bill brock,Bill Brock,Republican,yes,exact,100,Bill Brock,bill brock,Bill Brock,1998,congressional_elections_1998.csv,
"Brock, Bill",bill brock,Bill Brock,Republican,yes,exact,100,Bill Brock,bill brock,Bill Brock,1998,congressional_elections_1998.csv,
"Cassidy, Bill",bill cassidy,Bill Cassidy,Republican,yes,exact,100,Bill Cassidy,bill cassidy,Bill Cassidy,2008,congressional_elections_2008.csv,
"Cassidy, Bill",bill cassidy,Bill Cassidy,Republican,yes,exact,100,Bill Cassidy,bill cassidy,Bill Cassidy,2008,congressional_elections_2008.csv,
"Delahunt, Bill",bill delahunt,Bill Delahunt,Democratic,yes,exact,100,Bill Delahunt,bill delahunt,Bill Delahunt,1996,congressional_elections_1996.csv,
"Emerson, Bill",bill emerson,Bill Emerson,Republican,yes,exact,100,Bill Emerson,bill emerson,Bill Emerson,1992,congressional_elections_1992.csv,
"Flores, Bill",bill flores,Bill Flores,Republican,yes,exact,100,Bill Flores,bill flores,Bill Flores,2010,congressional_elections_2010.csv,
"Foster, Bill",bill foster,Bill Foster,Democratic,yes,exact,100,Bill Foster,bill foster,Bill Foster,2008,congressional_elections_2008.csv,
"Foster, Bill",bill foster,Bill Foster,Democratic,yes,exact,100,Bill Foster,bill foster,Bill Foster,2008,congressional_elections_2008.csv,
"Grant, Bill",bill grant,Bill Grant,Republican,yes,exact,100,Bill Grant,bill grant,Bill Grant,1992,congressional_elections_1992.csv,
"Hagerty, Bill",bill hagerty,Bill Hagerty,Republican,yes,exact,100,Bill Hagerty,bill hagerty,Bill Hagerty,2020,congressional_elections_2020.csv,
"Huizenga, Bill",bill huizenga,Bill Huizenga,Republican,yes,exact,100,Bill Huizenga,bill huizenga,Bill Huizenga,2010,congressional_elections_2010.csv,
"Johnson, Bill",bill johnson,Bill Johnson,Republican,yes,exact,100,Bill Johnson,bill johnson,Bill Johnson,1994,congressional_elections_1994.csv,
"McCollum, Bill",bill mccollum,Bill Mccollum,Republican,yes,exact,100,Bill McCollum,bill mccollum,Bill Mccollum,1992,congressional_elections_1992.csv,
"Nelson, Bill",bill nelson,Bill Nelson,Democratic,yes,exact,100,"Bill Nelson, Sr.",bill nelson,Bill Nelson,2000,congressional_elections_2000.csv,
"Nelson, Bill",bill nelson,Bill Nelson,Democratic,yes,exact,100,"Bill Nelson, Sr.",bill nelson,Bill Nelson,2000,congressional_elections_2000.csv,
"Orton, Bill",bill orton,Bill Orton,Democratic,yes,exact,100,Bill Orton,bill orton,Bill Orton,1992,congressional_elections_1992.csv,
"Pascrell, Bill",bill pascrell,Bill Pascrell,Democratic,yes,exact,100,"Bill Pascrell, Jr.",bill pascrell,Bill Pascrell,1996,congressional_elections_1996.csv,
"Posey, Bill",bill posey,Bill Posey,Republican,yes,exact,100,Bill Posey,bill posey,Bill Posey,2008,congressional_elections_2008.csv,
"Redmond, Bill",bill redmond,Bill Redmond,Republican,yes,exact,100,Bill Redmond,bill redmond,Bill Redmond,1996,congressional_elections_1996.csv,
"Richardson, Bill",bill richardson,Bill Richardson,Democratic,yes,exact,100,Bill Richardson,bill richardson,Bill Richardson,1992,congressional_elections_1992.csv,
"Sarpalius, Bill",bill sarpalius,Bill Sarpalius,Democratic,yes,exact,100,Bill Sarpalius,bill sarpalius,Bill Sarpalius,1992,congressional_elections_1992.csv,
"Shuster, Bill",bill shuster,Bill Shuster,Republican,yes,exact,100,Bill Shuster,bill shuster,Bill Shuster,2001,congressional_elections_2001.csv,
"Long, Billy",billy long,Billy Long,Republican,yes,exact,100,Billy Long,billy long,Billy Long,2010,congressional_elections_2010.csv,
"Luetkemeyer, Blaine",blaine luetkemeyer,Blaine Luetkemeyer,Republican,yes,exact,100,Blaine Luetkemeyer,blaine luetkemeyer,Blaine Luetkemeyer,2008,congressional_elections_2008.csv,
"Farenthold, Blake",blake farenthold,Blake Farenthold,Republican,yes,exact,100,Blake Farenthold,blake farenthold,Blake Farenthold,2010,congressional_elections_2010.csv,
"Barr, Bob",bob barr,Bob Barr,Republican,yes,exact,100,"Bob Barr, Jr.",bob barr,Bob Barr,1994,congressional_elections_1994.csv,
"Beauprez, Bob",bob beauprez,Bob Beauprez,Republican,yes,exact,100,Bob Beauprez,bob beauprez,Bob Beauprez,2002,congressional_elections_2002.csv,
"Carr, Bob",bob carr,Bob Carr,Democratic,yes,exact,100,Bob Carr,bob carr,Bob Carr,1992,congressional_elections_1992.csv,
"Carr, Bob",bob carr,Bob Carr,Democratic,yes,exact,100,Bob Carr,bob carr,Bob Carr,1992,congressional_elections_1992.csv,
"Casey, Bob",bob casey,Bob Casey,Democratic,yes,exact,100,"Bob Casey, Jr.",bob casey,Bob Casey,2006,congressional_elections_2006.csv,
"Etheridge, Bob",bob etheridge,Bob Etheridge,Democratic,yes,exact,100,Bob Etheridge,bob etheridge,Bob Etheridge,1996,congressional_elections_1996.csv,
"Filner, Bob",bob filner,Bob Filner,Democratic,yes,exact,100,Bob Filner,bob filner,Bob Filner,1992,congressional_elections_1992.csv,
"Gibbs, Bob",bob gibbs,Bob Gibbs,Republican,yes,exact,100,Bob Gibbs,bob gibbs,Bob Gibbs,2010,congressional_elections_2010.csv,
"Goodlatte, Bob",bob goodlatte,Bob Goodlatte,Republican,yes,exact,100,Bob Goodlatte,bob goodlatte,Bob Goodlatte,1992,congressional_elections_1992.csv,
"Inglis, Bob",bob inglis,Bob Inglis,Republican,yes,exact,100,"Bob Inglis, Sr.",bob inglis,Bob Inglis,1992,congressional_elections_1992.csv,
"Inglis, Bob",bob inglis,Bob Inglis,Republican,yes,exact,100,"Bob Inglis, Sr.",bob inglis,Bob Inglis,1992,congressional_elections_1992.csv,
"McEwen, Bob",bob mcewen,Bob Mcewen,Republican,yes,exact,100,Bob McEwen,bob mcewen,Bob Mcewen,1992,congressional_elections_1992.csv,
"Packwood, Bob",bob packwood,Bob Packwood,Republican,yes,exact,100,Bob Packwood,bob packwood,Bob Packwood,1992,congressional_elections_1992.csv,
"Riley, Bob",bob riley,Bob Riley,Republican,yes,exact,100,Bob Riley,bob riley,Bob Riley,1996,congressional_elections_1996.csv,
"Shamansky, Bob",bob shamansky,Bob Shamansky,Democratic,yes,exact,100,Bob Shamansky,bob shamansky,Bob Shamansky,2006,congressional_elections_2006.csv,
"Smith, Bob",bob smith,Bob Smith,Republican,yes,exact,100,Bob Smith,bob smith,Bob Smith,1996,congressional_elections_1996.csv,
"Smith, Bob",bob smith,Bob Smith,Republican,yes,exact,100,Bob Smith,bob smith,Bob Smith,1996,congressional_elections_1996.csv,
"Stump, Bob",bob stump,Bob Stump,Republican,yes,exact,100,Bob Stump,bob stump,Bob Stump,1992,congressional_elections_1992.csv,
"Bright, Bobby",bobby bright,Bobby Bright,Democratic,yes,exact,100,Bobby Bright,bobby bright,Bobby Bright,2008,congressional_elections_2008.csv,
"Jindal, Bobby",bobby jindal,Bobby Jindal,Republican,yes,exact,100,Bobby Jindal,bobby jindal,Bobby Jindal,2004,congressional_elections_2004.csv,
"Watson Coleman, Bonnie",bonnie watson coleman,Bonnie Watson Coleman,Democratic,yes,exact,100,Bonnie Watson Coleman,bonnie watson coleman,Bonnie Watson Coleman,2014,congressional_elections_2014.csv,
"Ashford, Brad",brad ashford,Brad Ashford,Democratic,yes,exact,100,Brad Ashford,brad ashford,Brad Ashford,2014,congressional_elections_2014.csv,
"Carson, Brad",brad carson,Brad Carson,Democratic,yes,exact,100,Brad Carson,brad carson,Brad Carson,2000,congressional_elections_2000.csv,
"Ellsworth, Brad",brad ellsworth,Brad Ellsworth,Democratic,yes,exact,100,Brad Ellsworth,brad ellsworth,Brad Ellsworth,2006,congressional_elections_2006.csv,
"Finstad, Brad",brad finstad,Brad Finstad,Republican,yes,exact,100,Brad Finstad,brad finstad,Brad Finstad,2022,congressional_elections_2022.csv,
"Knott, Brad",brad knott,Brad Knott,Republican,yes,exact,100,Brad Knott,brad knott,Brad Knott,2024,congressional_elections_2024.csv,
"Miller, Brad",brad miller,Brad Miller,Democratic,yes,exact,100,Brad Miller,brad miller,Brad Miller,2002,congressional_elections_2002.csv,
"Sherman, Brad",brad sherman,Brad Sherman,Democratic,yes,exact,100,Brad Sherman,brad sherman,Brad Sherman,1996,congressional_elections_1996.csv,
"Byrne, Bradley",bradley byrne,Bradley Byrne,Republican,yes,exact,100,Bradley Byrne,bradley byrne,Bradley Byrne,2013,congressional_elections_2013.csv,
"Gill, Brandon",brandon gill,Brandon Gill,Republican,yes,exact,100,Brandon Gill,brandon gill,Brandon Gill,2024,congressional_elections_2024.csv,
"Williams, Brandon",brandon williams,Brandon Williams,Republican,yes,exact,100,Brandon Williams,brandon williams,Brandon Williams,2022,congressional_elections_2022.csv,
"Jones, Brenda",brenda jones,Brenda Jones,Democratic,yes,exact,100,Brenda Jones,brenda jones,Brenda Jones,2018,congressional_elections_2018.csv,
"Guthrie, Brett",brett guthrie,Brett Guthrie,Republican,yes,exact,100,Brett Guthrie,brett guthrie,Brett Guthrie,2008,congressional_elections_2008.csv,
"Babin, Brian",brian babin,Brian Babin,Republican,yes,exact,100,Brian Babin,brian babin,Brian Babin,1996,congressional_elections_1996.csv,
"Baird, Brian",brian baird,Brian Baird,Democratic,yes,exact,100,Brian Baird,brian baird,Brian Baird,1996,congressional_elections_1996.csv,
"Higgins, Brian",brian higgins,Brian Higgins,Democratic,yes,exact,100,Brian Higgins,brian higgins,Brian Higgins,2004,congressional_elections_2004.csv,
"Jack, Brian",brian jack,Brian Jack,Republican,yes,exact,100,Brian Jack,brian jack,Brian Jack,2024,congressional_elections_2024.csv,
"Schatz, Brian",brian schatz,Brian Schatz,Democratic,yes,exact,100,Brian Schatz,brian schatz,Brian Schatz,2014,congressional_elections_2014.csv,
"Pettersen, Brittany",brittany pettersen,Brittany Pettersen,Democratic,yes,exact,100,Brittany Pettersen,brittany pettersen,Brittany Pettersen,2022,congressional_elections_2022.csv,
"Poliquin, Bruce",bruce poliquin,Bruce Poliquin,Republican,yes,exact,100,Bruce Poliquin,bruce poliquin,Bruce Poliquin,2014,congressional_elections_2014.csv,
"Westerman, Bruce",bruce westerman,Bruce Westerman,Republican,yes,exact,100,Bruce Westerman,bruce westerman,Bruce Westerman,2014,congressional_elections_2014.csv,
"Steil, Bryan",bryan steil,Bryan Steil,Republican,yes,exact,100,Bryan Steil,bryan steil,Bryan Steil,2018,congressional_elections_2018.csv,
"Owens, Burgess",burgess owens,Burgess Owens,Republican,yes,exact,100,Burgess Owens,burgess owens,Burgess Owens,2020,congressional_elections_2020.csv,
"Donalds, Byron",byron donalds,Byron Donalds,Republican,yes,exact,100,Byron Donalds,byron donalds,Byron Donalds,2020,congressional_elections_2020.csv,
"Collins, Cardiss",cardiss collins,Cardiss Collins,Democratic,yes,exact,100,Cardiss Collins,cardiss collins,Cardiss Collins,1992,congressional_elections_1992.csv,
"Levin, Carl",carl levin,Carl Levin,Democratic,yes,exact,100,Carl Levin,carl levin,Carl Levin,1996,congressional_elections_1996.csv,
"Curbelo, Carlos",carlos curbelo,Carlos Curbelo,Republican,yes,exact,100,Carlos Curbelo,carlos curbelo,Carlos Curbelo,2014,congressional_elections_2014.csv,
"Moseley-Braun, Carol",carol moseley braun,Carol Moseley Braun,Democratic,yes,exact,100,Carol Moseley Braun,carol moseley braun,Carol Moseley Braun,1992,congressional_elections_1992.csv,
"Shea-Porter, Carol",carol shea porter,Carol Shea Porter,Democratic,yes,exact,100,Carol Shea-Porter,carol shea porter,Carol Shea Porter,2006,congressional_elections_2006.csv,
"Shea-Porter, Carol",carol shea porter,Carol Shea Porter,Democratic,yes,exact,100,Carol Shea-Porter,carol shea porter,Carol Shea Porter,2006,congressional_elections_2006.csv,
"Shea-Porter, Carol",carol shea porter,Carol Shea Porter,Democratic,yes,exact,100,Carol Shea-Porter,carol shea porter,Carol Shea Porter,2006,congressional_elections_2006.csv,
"Bourdeaux, Carolyn",carolyn bourdeaux,Carolyn Bourdeaux,Democratic,yes,exact,100,Carolyn Bourdeaux,carolyn bourdeaux,Carolyn Bourdeaux,2018,congressional_elections_2018.csv,
"McCarthy, Carolyn",carolyn mccarthy,Carolyn Mccarthy,Democratic,yes,exact,100,Carolyn McCarthy,carolyn mccarthy,Carolyn Mccarthy,1996,congressional_elections_1996.csv,
"Ballenger, Cass",cass ballenger,Cass Ballenger,Republican,yes,exact,100,Cass Ballenger,cass ballenger,Cass Ballenger,1992,congressional_elections_1992.csv,
"Cortez Masto, Catherine",catherine cortez masto,Catherine Cortez Masto,Democratic,yes,exact,100,Catherine Cortez Masto,catherine cortez masto,Catherine Cortez Masto,2016,congressional_elections_2016.csv,
"Maloy, Celeste",celeste maloy,Celeste Maloy,Republican,yes,exact,100,Celeste Maloy,celeste maloy,Celeste Maloy,2023,congressional_elections_2023.csv,
"Fattah, Chaka",chaka fattah,Chaka Fattah,Democratic,yes,exact,100,"Chaka Fattah, Sr.",chaka fattah,Chaka Fattah,1994,congressional_elections_1994.csv,
"Wilson, Charles",charles wilson,Charles Wilson,Democratic,yes,exact,100,Charles Wilson,charles wilson,Charles Wilson,1992,congressional_elections_1992.csv,
"Crist, Charlie",charlie crist,Charlie Crist,Democratic,yes,exact,100,"Charlie Crist, Jr.",charlie crist,Charlie Crist,1998,congressional_elections_1998.csv,
"Melancon, Charlie",charlie melancon,Charlie Melancon,Democratic,yes,exact,100,"Charlie Melancon, Sr.",charlie melancon,Charlie Melancon,2004,congressional_elections_2004.csv,
"Pingree, Chellie",chellie pingree,Chellie Pingree,Democratic,yes,exact,100,Chellie Pingree,chellie pingree,Chellie Pingree,2002,congressional_elections_2002.csv,
"Bustos, Cheri",cheri bustos,Cheri Bustos,Democratic,yes,exact,100,Cheri Bustos,cheri bustos,Cheri Bustos,2012,congressional_elections_2012.csv,
"Edwards, Chet",chet edwards,Chet Edwards,Democratic,yes,exact,100,Chet Edwards,chet edwards,Chet Edwards,1992,congressional_elections_1992.csv,
"Cravaack, Chip",chip cravaack,Chip Cravaack,Republican,yes,exact,100,Chip Cravaack,chip cravaack,Chip Cravaack,2010,congressional_elections_2010.csv,
"Roy, Chip",chip roy,Chip Roy,Republican,yes,exact,100,Chip Roy,chip roy,Chip Roy,2018,congressional_elections_2018.csv,
"Bell, Chris",chris bell,Chris Bell,Democratic,yes,exact,100,Chris Bell,chris bell,Chris Bell,2002,congressional_elections_2002.csv,
